epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,436.357,1.54914,0.90291,1.16377,0.81263,0.74227,0.82353,0.49439,1.4452,0.85196,1.14459,0.0668721,0.000166472,0.000166472
2,987.892,1.44912,0.74734,1.10654,0.857,0.78032,0.86479,0.53451,1.39694,0.78777,1.09582,0.0336395,0.000267177,0.000267177
3,1414.02,1.4137,0.70467,1.09402,0.87823,0.80893,0.89032,0.5541,1.37838,0.68334,1.09784,0.000340869,0.000301882,0.000301882
4,2124.42,1.38082,0.66366,1.07419,0.89199,0.82865,0.90548,0.57113,1.35425,0.63912,1.07721,0.000203,0.000203,0.000203
5,2537.91,1.35645,0.62778,1.06208,0.89643,0.8417,0.91311,0.58491,1.33007,0.61006,1.06658,0.000104,0.000104,0.000104
