epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2301.6,1.30205,1.97184,1.79773,0.63969,0.64933,0.70167,0.54461,0.69842,1.39453,1.14761,0.067009,0.000333242,0.000333242
2,4412.09,0.75068,0.85289,1.19442,0.92945,0.89547,0.96301,0.80411,0.52777,0.60461,1.01121,0.033877,0.000534594,0.000534594
3,6538.5,0.65524,0.55554,1.10895,0.98005,0.96892,0.99084,0.85283,0.46573,0.35499,0.96687,0.000613048,0.000603945,0.000603945
4,8399.05,0.60437,0.42276,1.0649,0.98681,0.98143,0.99305,0.86801,0.43452,0.28228,0.93963,0.000406,0.000406,0.000406
5,10277.7,0.56507,0.34477,1.03391,0.99169,0.98725,0.99414,0.8795,0.41327,0.2455,0.92276,0.000208,0.000208,0.000208
